 0.5000, 0.5000,79.7234
 0.5000, 1.0000,-417.2294
 0.5000, 1.5000,101.1178
 0.5000, 2.0000,100.7542
 0.5000, 2.5000,101.7659
 0.5000, 3.0000,101.4974
 0.5000, 3.5000,100.4298
 0.5000, 4.0000,100.6973
 0.5000, 4.5000,102.7217
 0.5000, 5.0000,102.8513
 0.5000, 5.5000,101.3742
 0.5000, 6.0000,100.8103
 0.5000, 6.5000,101.1114
 0.5000, 7.0000,101.4512
 0.5000, 7.5000,100.4736
 0.5000, 8.0000,98.3477
 0.5000, 8.5000,96.2696
 0.5000, 9.0000,83.2563
 0.5000, 9.5000,-480.3078
 1.0000, 0.5000,85.0677
 1.0000, 1.0000,98.3112
 1.0000, 1.5000,99.1670
 1.0000, 2.0000,98.6910
 1.0000, 2.5000,99.8081
 1.0000, 3.0000,99.5131
 1.0000, 3.5000,98.2521
 1.0000, 4.0000,98.8692
 1.0000, 4.5000,100.9893
 1.0000, 5.0000,101.1306
 1.0000, 5.5000,99.2180
 1.0000, 6.0000,98.6058
 1.0000, 6.5000,99.0050
 1.0000, 7.0000,98.0586
 1.0000, 7.5000,96.5378
 1.0000, 8.0000,96.7141
 1.0000, 8.5000,96.9718
 1.0000, 9.0000,87.9254
 1.0000, 9.5000,-417.2294
 1.5000, 0.5000,83.2422
 1.5000, 1.0000,96.4191
 1.5000, 1.5000,97.3037
 1.5000, 2.0000,97.6924
 1.5000, 2.5000,98.2654
 1.5000, 3.0000,97.7494
 1.5000, 3.5000,97.5261
 1.5000, 4.0000,97.8654
 1.5000, 4.5000,99.1549
 1.5000, 5.0000,99.6599
 1.5000, 5.5000,98.6054
 1.5000, 6.0000,98.1171
 1.5000, 6.5000,98.2895
 1.5000, 7.0000,96.8678
 1.5000, 7.5000,96.5460
 1.5000, 8.0000,98.6970
 1.5000, 8.5000,98.8100
 1.5000, 9.0000,90.5179
 1.5000, 9.5000,-361.5721
 2.0000, 0.5000,83.2901
 2.0000, 1.0000,96.7508
 2.0000, 1.5000,98.1982
 2.0000, 2.0000,97.6023
 2.0000, 2.5000,96.8859
 2.0000, 3.0000,97.4927
 2.0000, 3.5000,97.6552
 2.0000, 4.0000,96.7794
 2.0000, 4.5000,97.6836
 2.0000, 5.0000,98.3208
 2.0000, 5.5000,98.2816
 2.0000, 6.0000,97.9054
 2.0000, 6.5000,96.8168
 2.0000, 7.0000,96.4546
 2.0000, 7.5000,97.9827
 2.0000, 8.0000,99.8435
 2.0000, 8.5000,99.4559
 2.0000, 9.0000,90.9936
 2.0000, 9.5000,-313.3357
 2.5000, 0.5000,83.0483
 2.5000, 1.0000,96.5844
 2.5000, 1.5000,98.7413
 2.5000, 2.0000,98.1222
 2.5000, 2.5000,96.0147
 2.5000, 3.0000,96.7696
 2.5000, 3.5000,97.2170
 2.5000, 4.0000,96.4053
 2.5000, 4.5000,97.7424
 2.5000, 5.0000,98.0071
 2.5000, 5.5000,97.5891
 2.5000, 6.0000,97.5897
 2.5000, 6.5000,96.9365
 2.5000, 7.0000,97.8582
 2.5000, 7.5000,98.6388
 2.5000, 8.0000,99.2489
 2.5000, 8.5000,98.4634
